epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,28.5622,0.82372,0.62517,0.95236,1,0.35023,0.62134,0.4554,1.10711,2.56838,0.94999,0.000444448,0.000444448,0.000444448
70,28.9764,0.92246,0.73544,0.88727,1,0.35023,0.62134,0.4554,1.10711,2.56838,0.94999,0.000437322,0.000437322,0.000437322
71,29.4131,0.86337,0.75924,0.91562,1,0.35023,0.62134,0.4554,1.10711,2.56838,0.94999,0.0004298,0.0004298,0.0004298
72,29.8561,0.88121,0.72312,0.98278,1,0.4213,0.6576,0.47789,1.12473,2.43968,0.95087,0.000421882,0.000421882,0.000421882
73,30.2886,0.78243,0.70017,0.9432,1,0.4213,0.6576,0.47789,1.12473,2.43968,0.95087,0.000413568,0.000413568,0.000413568
74,30.7734,0.78775,0.63299,0.97348,1,0.4213,0.6576,0.47789,1.12473,2.43968,0.95087,0.000404858,0.000404858,0.000404858
75,31.2134,0.77902,0.61372,0.88098,1,0.43638,0.70101,0.52991,1.06313,2.27596,0.93766,0.000395752,0.000395752,0.000395752
76,31.6068,0.73075,0.63122,0.86792,1,0.43638,0.70101,0.52991,1.06313,2.27596,0.93766,0.00038625,0.00038625,0.00038625
77,32.027,0.75814,0.59306,0.93256,1,0.43638,0.70101,0.52991,1.06313,2.27596,0.93766,0.000376352,0.000376352,0.000376352
78,32.4813,0.74557,0.69793,0.93016,1,0.45675,0.72022,0.53891,1.05014,2.17671,0.93591,0.000366058,0.000366058,0.000366058
79,32.9057,0.84164,0.68915,0.94666,1,0.45675,0.72022,0.53891,1.05014,2.17671,0.93591,0.000355368,0.000355368,0.000355368
80,33.3262,0.83158,0.63511,0.8771,1,0.45675,0.72022,0.53891,1.05014,2.17671,0.93591,0.000344282,0.000344282,0.000344282
81,33.7659,0.82326,0.62121,0.89919,1,0.48119,0.76191,0.5723,1.03602,2.08617,0.93528,0.0003328,0.0003328,0.0003328
82,34.1645,0.74929,0.59271,0.9203,1,0.48119,0.76191,0.5723,1.03602,2.08617,0.93528,0.000320922,0.000320922,0.000320922
83,34.5641,0.91707,0.70804,1.06719,1,0.48119,0.76191,0.5723,1.03602,2.08617,0.93528,0.000308648,0.000308648,0.000308648
84,34.9924,0.83277,0.6954,1.00752,1,0.49378,0.78196,0.56954,1.05654,2.02145,0.94289,0.000295978,0.000295978,0.000295978
85,35.4184,0.85264,0.92121,0.90974,1,0.49378,0.78196,0.56954,1.05654,2.02145,0.94289,0.000282912,0.000282912,0.000282912
86,35.8239,0.78474,0.61135,0.95731,1,0.49378,0.78196,0.56954,1.05654,2.02145,0.94289,0.00026945,0.00026945,0.00026945
87,36.2103,0.79616,0.73508,0.99373,1,0.49378,0.78196,0.56954,1.05654,2.02145,0.94289,0.000255592,0.000255592,0.000255592
88,36.6207,0.79869,0.63922,0.9158,1,0.4972,0.78887,0.56753,1.08014,1.98754,0.95472,0.000241338,0.000241338,0.000241338
89,37.0502,0.75804,0.59991,0.85983,1,0.4972,0.78887,0.56753,1.08014,1.98754,0.95472,0.000226688,0.000226688,0.000226688
90,37.4661,0.83961,0.69899,1.06067,1,0.4972,0.78887,0.56753,1.08014,1.98754,0.95472,0.000211642,0.000211642,0.000211642
91,37.9357,0.68047,0.60608,0.89159,1,0.4972,0.78887,0.56753,1.08014,1.98754,0.95472,0.0001962,0.0001962,0.0001962
92,38.3751,0.73585,0.78483,0.96298,1,0.49673,0.79049,0.56236,1.08316,1.96494,0.96061,0.000180362,0.000180362,0.000180362
93,38.8063,0.84065,0.69532,0.94255,1,0.49673,0.79049,0.56236,1.08316,1.96494,0.96061,0.000164128,0.000164128,0.000164128
94,39.2089,0.76425,0.61166,0.8926,1,0.49673,0.79049,0.56236,1.08316,1.96494,0.96061,0.000147498,0.000147498,0.000147498
95,39.6293,0.69557,0.57507,0.9039,1,0.49673,0.79049,0.56236,1.08316,1.96494,0.96061,0.000130472,0.000130472,0.000130472
96,40.033,0.75295,0.62722,0.9199,1,0.52429,0.79843,0.57908,1.07163,1.90475,0.95957,0.00011305,0.00011305,0.00011305
97,40.4504,0.7383,0.61422,0.90768,1,0.52429,0.79843,0.57908,1.07163,1.90475,0.95957,9.5232e-05,9.5232e-05,9.5232e-05
98,40.8798,0.69477,0.6199,0.97259,1,0.52429,0.79843,0.57908,1.07163,1.90475,0.95957,7.7018e-05,7.7018e-05,7.7018e-05
99,41.2869,0.68329,0.58854,0.91543,1,0.52429,0.79843,0.57908,1.07163,1.90475,0.95957,5.8408e-05,5.8408e-05,5.8408e-05
100,41.6922,0.87043,0.72207,0.91061,1,0.6059,0.81861,0.59612,1.06183,1.82283,0.95937,3.9402e-05,3.9402e-05,3.9402e-05
